Titel film;Datum1;Tijd1;Scheuren1?;;datum2;tijd2;zaal2;Scheuren2?;datum3;tijd3;Scheuren3?;prize;noprize;noentry
1989;05-11-14;20:00;ja;;;;;ja;;;ja;ja;;
82 Dagen in april;07-11-14;19:45;ja;;08-nov;12:30;rabo;ja;;;ja;ja;;
Aanmodderfakker (slotfilm);09-11-14;21:15;ja;;;;;ja;;;ja;nee (te laat);ja;
Angelus (Ars Independent);09-11-14;17:15;ja;;;;;ja;;;ja;nee;ja;
Antboy (1e school, 2e publiek);07-11-14;9:30;nee;;08-nov;10:30;benta;ja ;;;ja (alleen 2e);ja (alleen 2e);;
Ash;06-11-14;10:15;ja;;08-nov;12:30;roze;ja;;;ja;ja;;
Autors of Tarragona;08-11-14;12:45;ja;;;;;ja;;;ja;nee;ja;
Before snowfall;07-11-14;10:00;ja;;08-nov;20:00;blauw;ja;09-nov;12:30;ja;ja;;
Belleville baby;07-11-14;17:15;ja;;09-nov;17:30;roze;ja;;;ja;ja;;
Bjork: biophilia live;06-11-14;20:00;ja;;;;;ja;;;ja;ja;;
Boy upside down;07-11-14;19:45;ja;;09-nov;13:00;roze;ja;;;ja;ja;;
Brasslands;08-11-14;15:00;ja;;;;;ja;;;ja;ja;;
Brozer;06-11-14;10:15;ja;;07-nov;17:15;rabo;ja;;;ja;ja;;
Cherry tobacco;06-11-14;19:45;ja;;07-nov;17:15;blauw;ja;;;ja;ja;;
Cold breezes;08-11-14;15:00;ja;;;;;ja;;;ja;ja;;
Concrete night;06-11-14;22:00;ja;;09-nov;12:45;aegon;ja;;;ja;ja;;
Corn Island;05-11-14;20:15;ja;;07-nov;12:15;roze;ja;08-nov;19:45;ja;ja;;
De òtflecht;besloten voorstelling;;ja;;07-nov;19.30;Bus;ja;07-nov;21:00;ja;ja;;
Drift;05-11-14;22:15;ja;;09-nov;20:00;groen;ja;;;ja;ja;;
Dwers en tear + Heit;07-11-14;17:15;ja;;09-nov;10:45;benta;ja;;;ja;nee;ja;
Een vlucht regenwulpen ;06-11-14;14:15;ja;;09-nov;13:00;groen;ja;;;ja;nee;ja;
Emil & Ida van de hazelhoeve;08-11-14;10:45;ja;;;;;ja;;;ja;ja;;
Ennik films & stills;06-11-14;20:00;nee;;08-nov;17:45;blauw;nee;;;nee;nee;nee;x
Everybody sometimes falls;06-11-14;10:00;ja;;08-nov;22:30;groen;ja;;;ja;ja;;
Finnish blood, Swedish heart + Yes, we love;07-11-14;12:00;ja;;09-nov;22:00;groen;ja;;;ja;ja;;
Free fall;07-11-14;17:30;ja;;09-nov;19:30;aegon;ja;;;ja;ja;;
Free range: ballad on approving of the world;07-11-14;14:30;ja;;08-nov;14:45;roze;ja;;;ja;ja;;
God help the girl;07-11-14;22:00;ja;;;;;ja;;;ja;ja;;
